,price,area,locality,bedroom_num,bathroom_num,balcony_num
157,110.0,1050,Kharghar,2,2,0
158,75.0,700,Kharghar,1,1,0
159,59.0,658,Kharghar,1,1,0
160,99.0,1120,Kharghar,2,2,0
161,140.0,1125,Kharghar,2,2,0
162,110.0,1000,Kharghar,2,2,0
163,115.0,1115,Kharghar,2,2,0
164,125.0,1125,Kharghar,2,2,0
165,125.0,1500,Kharghar,3,3,0
166,125.0,1500,Kharghar,3,3,0
167,92.0,1000,Kharghar,2,2,0
168,130.0,1125,Kharghar,2,2,0
169,152.0,1550,Kharghar,3,3,0
170,152.0,1550,Kharghar,3,3,0
171,145.0,1250,Kharghar,2,2,0
172,145.0,1250,Kharghar,2,2,0
173,155.0,1550,Kharghar,3,3,0
174,677.0,2152,Deonar,3,3,0
175,105.0,1200,Kharghar,2,2,0
176,327.0,1040,Kandivali,3,2,0
177,105.0,1200,Kharghar,2,2,0
178,326.0,1040,Kandivali,3,2,0
179,325.0,1040,Kandivali,3,2,0
180,145.0,925,Borivali,2,2,0
181,92.0,680,Ghansoli,1,1,0
182,195.0,930,Kandivali,2,2,0
183,135.0,1100,Thane,2,2,0
184,105.0,955,Mira Road,2,2,0
185,215.0,850,Mulund,2,2,0
186,125.0,1050,Thane,2,2,0
187,88.0,850,Mira Road,2,2,0
188,58.0,650,Mira Road,1,2,0
189,80.0,620,Bhandup,1,2,0
190,83.0,630,Bhandup,1,2,0
191,78.0,600,Bhandup,1,2,0
192,70.5,838,Dombivali,2,2,0
193,75.0,600,Bhandup,1,2,0
194,50.5,700,Dombivali,1,2,0
195,55.0,550,Mira Road,1,1,0
196,61.5,880,Thakurli,2,2,0
197,116.0,880,Bhandup,2,2,0
198,300.0,1675,Mulund,3,3,0
199,185.0,1100,Thane,3,3,0
200,312.04,1650,Mulund,3,3,0
201,523.73,2450,Mulund,3,3,0
202,515.0,2425,Thane,4,4,0
203,217.0,1180,Andheri,2,2,0
204,160.0,1450,Thane,3,3,0
205,200.0,950,Mulund,2,2,0
206,250.0,1300,Mulund,3,3,0
207,55.0,550,Thane,1,1,0
208,215.0,1050,Mulund,2,2,0
209,599.0,1731,Bandra,3,3,0
210,75.0,607,Thane,1,2,0
211,165.0,1050,Powai,2,2,0
212,130.0,900,Thane,2,2,0
213,115.0,900,Koper Khairane,2,2,0
214,118.0,709,Thane,2,2,0
215,97.0,1054,Mira Road,2,2,0
216,30.0,590,Nala Sopara,1,1,0
217,220.0,1235,Ghansoli,2,2,0
218,200.0,1300,Koper Khairane,3,2,0
219,185.0,1150,Vashi,2,2,0
220,120.0,650,Mulund,1,2,0
221,92.59,950,Mira Road,2,2,0
222,92.46,1050,Mira Road,2,2,0
223,160.0,1400,Thane,3,3,0
224,328.0,1040,Kandivali,3,2,0
225,120.0,1100,Kharghar,2,2,0
226,62.0,650,Kharghar,1,1,0
227,113.0,1200,Mira Road,2,2,0
228,49.88,895,Vasai,2,1,0
229,76.0,710,Mira Road,1,2,0
230,42.7,945,Andheri,2,2,0
231,570.0,2022,Chembur,4,4,0
232,230.0,965,Kandivali,2,2,0
233,510.0,1564,Kandivali,4,4,0
234,340.0,1100,Borivali,3,3,0
235,440.0,1545,Kandivali,4,4,0
236,195.0,950,Borivali,2,2,0
237,350.0,1250,Borivali,3,3,0
238,87.0,1000,Thane,1,1,0
239,75.0,875,Bhayandar,2,2,0
240,192.0,1000,Thane,2,2,0
241,67.0,750,Mira Road,1,2,0
242,893.0,2982,Chembur,4,4,0
243,90.0,1120,Kharghar,2,2,0
244,45.9,900,Ambernath,2,2,0
245,45.52,900,Ambernath,2,2,0
246,380.0,1260,Andheri,3,3,0
247,150.0,1150,Koper Khairane,2,2,0
248,97.0,625,Kandivali,1,2,0
249,34.0,605,Vasai,1,2,0
250,300.0,1000,Andheri,2,2,0
251,218.0,950,Jogeshwari,2,2,0
252,37.0,890,Badlapur,1,1,0
253,26.0,638,Badlapur,1,1,0
254,38.28,605,Vasai,1,2,0
255,55.28,790,Vasai,2,2,0
256,82.5,900,Thane,2,2,0
257,87.0,424,Malad,1,1,0
258,45.0,650,Dombivali,1,1,0
259,73.5,680,Kalwa,1,2,0
260,199.0,1800,Kharghar,3,3,0
261,129.0,1150,Kharghar,2,2,0
262,185.0,1200,Borivali,3,2,0
263,61.0,970,Virar,2,2,0
